prize_year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_longitude,birth_latitude,birth_country,gender,organization_name,organization_city,organization_longitude,organization_latitude,organization_country,death_date,death_city,death_country
1902,Peace,The Nobel Peace Prize 1902,NA,1-Feb,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,7.102975,47.2235029,Switzerland,Male,NA,NA,NA,NA,NA,16/03/1914,Bern,Switzerland
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1-Feb,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,5.8987296,51.9851034,Netherlands,Male,Leiden University,Leiden,4.4970097,52.1601144,Netherlands,04/02/1928,NA,Netherlands
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1-Feb,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,3.9518196,51.7130521,Netherlands,Male,Amsterdam University,Amsterdam,4.9041389,52.3675734,Netherlands,09/10/1943,Amsterdam,Netherlands
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1-Jan,162,Individual,Svante August Arrhenius,1859-02-19,Vik,-19.0060479,63.4186315,Sweden,Male,Stockholm University,Stockholm,18.0685808,59.3293235,Sweden,02/10/1927,Stockholm,Sweden
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1-Jan,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,10.2828531,62.5812519,Norway,Male,NA,NA,NA,NA,NA,26/04/1910,Paris,France
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1-Jan,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,-6.7740852,62.0107248,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,12.5683371,55.6760968,Denmark,24/09/1904,Copenhagen,Denmark
1903,Peace,The Nobel Peace Prize 1903,NA,1-Jan,466,Individual,William Randal Cremer,1828-03-18,Fareham,-1.1865868,50.8548464,United Kingdom,Male,NA,NA,NA,NA,NA,22/07/1908,London,United Kingdom
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1-Feb,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,2.3522219,48.856614,France,Male,_cole Polytechnique,Paris,2.3522219,48.856614,France,25/08/1908,NA,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1-Apr,5,Individual,Pierre Curie,1859-05-15,Paris,2.3522219,48.856614,France,Male,_cole municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,2.3522219,48.856614,France,19/04/1906,Paris,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1-Apr,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,21.0122287,52.2296756,Russian Empire (Poland),Female,NA,NA,NA,NA,NA,04/07/1934,Sallanches,France
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1-Jan,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,-4.251806,55.864237,Scotland,Male,University College,London,-0.1275862,51.5072178,United Kingdom,23/07/1916,High Wycombe,United Kingdom
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",1-Feb,573,Individual,Frédéric Mistral,1830-09-08,Maillane,4.782098,43.832349,France,Male,NA,NA,NA,NA,NA,25/03/1914,Maillane,France
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",1-Feb,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,-3.7037902,40.4167754,Spain,Male,NA,NA,NA,NA,NA,04/09/1916,Madrid,Spain
1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",1-Jan,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,39.7125857,54.6095418,Russia,Male,Military Medical Academy,St. Petersburg,30.3609097,59.9310584,Russia,27/02/1936,Leningrad,Russia
1904,Peace,The Nobel Peace Prize 1904,NA,1-Jan,467,Organization,Institut de droit international (Institute of International Law),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,Physics,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1-Jan,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",0.6704065,51.7597899,United Kingdom,Male,Royal Institution of Great Britain,London,-0.1275862,51.5072178,United Kingdom,30/06/1919,NA,United Kingdom
1905,Chemistry,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",1-Jan,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,13.404954,52.5200066,Prussia (Germany),Male,Munich University,Munich,11.5819806,48.1351253,Germany,20/08/1917,Starnberg,Germany
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",1-Jan,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,22.1336434,51.7494805,Poland,Male,NA,NA,NA,NA,NA,15/11/1916,Vevey,Switzerland
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis""",1-Jan,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),10.340707,51.8080063,Germany,Male,Institute for Infectious Diseases,Berlin,13.404954,52.5200066,Germany,27/05/1910,Baden-Baden,Germany
1905,Peace,The Nobel Peace Prize 1905,NA,1-Jan,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,14.4378005,50.0755381,Austrian Empire (Czech Republic),Female,NA,NA,NA,NA,NA,21/06/1914,Vienna,Austria
1905,Physics,The Nobel Prize in Physics 1905,"""for his work on cathode rays""",1-Jan,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),17.1077477,48.1485965,Hungary (Slovakia),Male,Kiel University,Kiel,10.1227652,54.3232927,Germany,20/05/1947,Messelhausen,Germany
1906,Chemistry,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",1-Jan,165,Individual,Henri Moissan,1852-09-28,Paris,2.3522219,48.856614,France,Male,Sorbonne University,Paris,2.3522219,48.856614,France,20/02/1907,Paris,France
1906,Literature,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",1-Jan,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,11.3130018,43.5521955,Tuscany (Italy),Male,NA,NA,NA,NA,NA,16/02/1907,Bologna,Italy
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",1-Feb,298,Individual,Camillo Golgi,1843-07-07,Corteno,10.2365387,46.1652608,Italy,Male,Pavia University,Pavia,9.1582069,45.1847248,Italy,21/01/1926,Pavia,Italy
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",1-Feb,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,-1.0924468,42.4614395,Spain,Male,Madrid University,Madrid,-3.7037902,40.4167754,Spain,17/10/1934,Madrid,Spain
1906,Peace,The Nobel Peace Prize 1906,NA,1-Jan,470,Individual,Theodore Roosevelt,1858-10-27,"New York, NY",-74.0059728,40.7127753,United States of America,Male,NA,NA,NA,NA,NA,06/01/1919,"Oyster Bay, NY",United States of America
1906,Physics,The Nobel Prize in Physics 1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1-Jan,10,Individual,Joseph John Thomson,1856-12-18,"Cheetham Hill, near Manchester",-2.2368975,53.5021101,United Kingdom,Male,University of Cambridge,Cambridge,0.1312729,52.1950788,United Kingdom,30/08/1940,Cambridge,United Kingdom
1907,Chemistry,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",1-Jan,166,Individual,Eduard Buchner,1860-05-20,Munich,11.5819806,48.1351253,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,13.404954,52.5200066,Germany,13/08/1917,Focsani,Romania
1907,Literature,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1-Jan,577,Individual,Rudyard Kipling,1865-12-30,Bombay,72.8776559,19.0759837,British India (India),Male,NA,NA,NA,NA,NA,18/01/1936,London,United Kingdom
1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,"""in recognition of his work on the role played by protozoa in causing diseases""",1-Jan,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,2.3522219,48.856614,France,Male,Institut Pasteur,Paris,2.3522219,48.856614,France,18/05/1922,Paris,France
1907,Peace,The Nobel Peace Prize 1907,NA,1-Feb,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,9.189982,45.4642035,Austrian Empire (Italy),Male,NA,NA,NA,NA,NA,10/02/1918,Milan,Italy
1907,Peace,The Nobel Peace Prize 1907,NA,1-Feb,472,Individual,Louis Renault,1843-05-21,Autun,4.301565,46.950914,France,Male,Sorbonne University,Paris,2.3522219,48.856614,France,08/02/1918,Barbizon,France
1907,Physics,The Nobel Prize in Physics 1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1-Jan,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),18.17266,52.62772,Prussia (Poland),Male,University of Chicago,"Chicago, IL",-87.6297982,41.8781136,United States of America,09/05/1931,"Pasadena, CA",United States of America
1908,Chemistry,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",1-Jan,167,Individual,Ernest Rutherford,1871-08-30,Nelson,173.2443635,-41.2985321,New Zealand,Male,Victoria University,Manchester,-2.2426305,53.4807593,United Kingdom,19/10/1937,Cambridge,United Kingdom
1908,Literature,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1-Jan,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,7.4833137,53.472548,East Friesland (Germany),Male,NA,NA,NA,NA,NA,14/09/1926,Jena,Germany
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",1-Feb,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),36.230383,49.9935,Russian Empire (Ukraine),Male,Institut Pasteur,Paris,2.3522219,48.856614,France,15/07/1916,Paris,France
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",1-Feb,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),17.0646124,50.7812167,Prussia (Poland),Male,Goettingen University,Göttingen,NA,NA,Germany,20/08/1915,Bad Homburg vor der Höhe,Germany
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",1-Feb,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),17.0646124,50.7812167,Prussia (Poland),Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,8.6821267,50.1109221,Germany,20/08/1915,Bad Homburg vor der Höhe,Germany
1908,Peace,The Nobel Peace Prize 1908,NA,1-Feb,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,11.97456,57.70887,Sweden,Male,NA,NA,NA,NA,NA,20/02/1916,Stockholm,Sweden
1908,Peace,The Nobel Peace Prize 1908,NA,1-Feb,474,Individual,Fredrik Bajer,1837-04-21,Næstved,11.759207,55.224613,Denmark,Male,NA,NA,NA,NA,NA,22/01/1922,Copenhagen,Denmark
1908,Physics,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1-Jan,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,6.1121429,49.6040705,Luxembourg,Male,Sorbonne University,Paris,2.3522219,48.856614,France,13/07/1921,NA,NA
1909,Chemistry,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1-Jan,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,24.1056221,56.9676941,Russian Empire (Latvia),Male,Leipzig University,Leipzig,12.3730747,51.3396955,Germany,04/04/1932,Leipzig,Germany
1909,Literature,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",1-Jan,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,24.8516734,60.2661423,Sweden,Female,NA,NA,NA,NA,NA,16/03/1940,Mårbacka,Sweden
1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,"""for his work on the physiology, pathology and surgery of the thyroid gland""",1-Jan,303,Individual,Emil Theodor Kocher,1841-08-25,Berne,7.4474468,46.9479739,Switzerland,Male,Berne University,Berne,7.4474468,46.9479739,Switzerland,27/07/1917,Berne,Switzerland
1909,Peace,The Nobel Peace Prize 1909,NA,1-Feb,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,2.9091818,51.2246631,Belgium,Male,NA,NA,NA,NA,NA,06/10/1912,Lucerne,Switzerland
1909,Peace,The Nobel Peace Prize 1909,NA,1-Feb,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,-0.074646,47.69589,France,Male,NA,NA,NA,NA,NA,15/05/1924,Paris,France
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",1-Feb,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,11.3426163,44.494887,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,-0.1275862,51.5072178,United Kingdom,20/07/1937,Rome,Italy
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",1-Feb,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,9.6808449,50.5558095,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,7.7521113,48.5734053,"Alsace (then Germany, now France)",20/04/1918,"Brooklyn, NY",United States of America
1910,Chemistry,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1-Jan,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),20.4522144,54.7104264,Germany (Russia),Male,Goettingen University,Göttingen,NA,NA,Germany,26/02/1931,Göttingen,Germany
1910,Literature,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",1-Jan,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,13.404954,52.5200066,Prussia (Germany),Male,NA,NA,NA,NA,NA,02/04/1914,Munich,Germany
1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",1-Jan,304,Individual,Albrecht Kossel,1853-09-16,Rostock,12.0991466,54.0924406,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,8.6724335,49.3987524,Germany,05/07/1927,Heidelberg,Germany
1910,Peace,The Nobel Peace Prize 1910,NA,1-Jan,477,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,Physics,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids""",1-Jan,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,4.4970097,52.1601144,Netherlands,Male,Amsterdam University,Amsterdam,4.9041389,52.3675734,Netherlands,08/03/1923,Amsterdam,Netherlands
1911,Chemistry,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",1-Jan,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,21.0122287,52.2296756,Russian Empire (Poland),Female,Sorbonne University,Paris,2.3522219,48.856614,France,04/07/1934,Sallanches,France
1911,Literature,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1-Jan,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,3.7303351,51.0500182,Belgium,Male,NA,NA,NA,NA,NA,06/05/1949,Nice,France
1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,"""for his work on the dioptrics of the eye""",1-Jan,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,12.8300802,55.8703477,Sweden,Male,Uppsala University,Uppsala,17.6389267,59.8585638,Sweden,28/07/1930,Stockholm,Sweden
1911,Peace,The Nobel Peace Prize 1911,NA,1-Feb,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,4.9041389,52.3675734,Netherlands,Male,NA,NA,NA,NA,NA,29/07/1913,the Hague,Netherlands
1911,Peace,The Nobel Peace Prize 1911,NA,1-Feb,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,16.3738189,48.2081743,Austria,Male,NA,NA,NA,NA,NA,05/05/1921,Vienna,Austria
1911,Physics,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat""",1-Jan,16,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),20.0229192,54.7732128,Prussia (Russia),Male,Würzburg University,Würzburg,NA,NA,Germany,30/08/1928,Munich,Germany
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",1-Feb,172,Individual,Victor Grignard,1871-05-06,Cherbourg,-1.622224,49.6338979,France,Male,Nancy University,Nancy,6.184417,48.692054,France,13/12/1935,Lyon,France
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",1-Feb,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,2.3517703,43.2132151,France,Male,Toulouse University,Toulouse,1.444209,43.604652,France,14/08/1941,Toulouse,France
1912,Literature,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",1-Jan,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,16.247897,50.810462,Prussia (Germany),Male,NA,NA,NA,NA,NA,06/06/1946,Agnetendorf (Jagniatków),Germany (Poland)
1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1-Jan,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,4.804827,45.735237,France,Male,Rockefeller Institute for Medical Research,"New York, NY",-74.0059728,40.7127753,United States of America,05/11/1944,Paris,France
1912,Peace,The Nobel Peace Prize 1912,NA,1-Jan,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",-75.3785034,43.0484029,United States of America,Male,NA,NA,NA,NA,NA,07/02/1937,"New York, NY",United States of America
1912,Physics,The Nobel Prize in Physics 1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1-Jan,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,13.7142087,58.2740016,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,18.1468,59.36296,Sweden,09/12/1937,Stockholm,Sweden
1913,Chemistry,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1-Jan,174,Individual,Alfred Werner,1866-12-12,Mulhouse,7.335888,47.750839,France,Male,University of Zurich,Zurich,8.541694,47.3768866,Switzerland,15/11/1919,Zurich,Switzerland
1913,Literature,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",1-Jan,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,88.363895,22.572646,India,Male,NA,NA,NA,NA,NA,07/08/1941,Calcutta,India
1913,Medicine,The Nobel Prize in Physiology or Medicine 1913,"""in recognition of his work on anaphylaxis""",1-Jan,307,Individual,Charles Robert Richet,1850-08-26,Paris,2.3522219,48.856614,France,Male,Sorbonne University,Paris,2.3522219,48.856614,France,04/12/1935,Paris,France
1913,Peace,The Nobel Peace Prize 1913,NA,1-Jan,481,Individual,Henri La Fontaine,1854-04-22,Brussels,4.3571696,50.8476424,Belgium,Male,NA,NA,NA,NA,NA,14/05/1943,Brussels,Belgium
1913,Physics,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",1-Jan,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,6.5665018,53.2193835,Netherlands,Male,Leiden University,Leiden,4.4970097,52.1601144,Netherlands,21/02/1926,Leiden,Netherlands
1914,Chemistry,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1-Jan,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",-75.174598,40.0292648,United States of America,Male,Harvard University,"Cambridge, MA",-71.1097335,42.3736158,United States of America,02/04/1928,"Cambridge, MA",United States of America
1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,"""for his work on the physiology and pathology of the vestibular apparatus""",1-Jan,308,Individual,Robert Bárány,1876-04-22,Vienna,16.3738189,48.2081743,Austria,Male,Vienna University,Vienna,16.3738189,48.2081743,Austria,08/04/1936,Uppsala,Sweden
1914,Physics,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals""",1-Jan,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,14.0748638,50.911275,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,8.6821267,50.1109221,Germany,23/04/1960,Berlin,West Germany (Germany)
1915,Chemistry,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",1-Jan,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,8.4036527,49.0068901,Germany,Male,Munich University,Munich,11.5819806,48.1351253,Germany,03/08/1942,Locarno,Switzerland
1915,Literature,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1-Jan,584,Individual,Romain Rolland,1866-01-29,Clamecy,3.518769,47.459605,France,Male,NA,NA,NA,NA,NA,30/12/1944,Vézelay,France
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",1-Feb,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,-3.161231,54.825544,United Kingdom,Male,University College,London,-0.1275862,51.5072178,United Kingdom,12/03/1942,London,United Kingdom
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",1-Feb,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,138.6007456,-34.9284989,Australia,Male,Victoria University,Manchester,-2.2426305,53.4807593,United Kingdom,01/07/1971,Ipswich,United Kingdom
